Stage Number,Topic,Expertise Level,Number of Cookies,Engaged,Percentage,CodeRiddle Total Data,Engaged,Percentage, Minigame Total Data,
1,Comments,Poor,2,ENGAGED,0%,1,ENGAGED,100%,7,
2,Variables,Poor,1,ENGAGED,0%,1,ENGAGED,100%,7,
3,Operators,Poor,2,ENGAGED,0%,1,ENGAGED,100%,7,
4,Variables,Poor,2,ENGAGED,0%,1,ENGAGED,100%,7,
5,-,-,-,-,-,-,-,-,-,
6,-,-,-,-,-,-,-,-,-,
7,-,-,-,-,-,-,-,-,-,
8,-,-,-,-,-,-,-,-,-,
9,-,-,-,-,-,-,-,-,-,
10,-,-,-,-,-,-,-,-,-,
11,-,-,-,-,-,-,-,-,-,
12,-,-,-,-,-,-,-,-,-,
13,-,-,-,-,-,-,-,-,-,
14,-,-,-,-,-,-,-,-,-,
15,-,-,-,-,-,-,-,-,-,
16,-,-,-,-,-,-,-,-,-,
